From Bank,From Account,To Bank,To Account,Amount Paid
002053,800D1FE90,015730,80275B5C0,41488.596000000005
003420,801BDB970,0213704,805107AA0,1837154.0466999998
015730,80275B5C0,006803,8041DC2A0,266246.081
0213704,805107AA0,001,80515A180,730180.0299999999
001,80515A180,0130584,811EA6B40,3121.853
006803,8041DC2A0,0111443,805571620,69740.0351
0111443,805571620,0012585,807216D10,45617.484
0130584,811EA6B40,008805,811EA5E70,2478.5966000000003
002824,80163FC30,013037,80199C3D0,34190.3023
001241,800969470,023833,8027627F0,62995.1078
002385,80272A710,023833,8027627F0,4671.165
070,100428660,013037,80199C3D0,145001.5056
034192,80199C5B0,013037,80199C3D0,11960.0603
013037,80199C3D0,011813,8032E7840,91512.7904
023833,8027627F0,009371,803CD5670,35717.5601
011813,8032E7840,0221332,80FE161A0,92818.5272
009371,803CD5670,023537,8056D3FD0,43949.1612
0221332,80FE161A0,007042,80FE161F0,46224.82
023537,8056D3FD0,014099,805FFE680,9275.909300000001
023537,8056D3FD0,016109,806F90290,12152.949999999999
023537,8056D3FD0,021611,807D306E0,34100.403399999996
023537,8056D3FD0,0218472,8094A2280,30905.178799999998
0012,80B72F940,0214,80BEF5AC0,74703.78656
0214,80BEF5AC0,028,80C073210,23497.38006
028,80C073210,0133471,80C5F4FC0,48062.7964
0133471,80C5F4FC0,0033750,80C665190,41215.78104
012,800B69830,001501,800D941A0,1843.5
022758,801BC4DA0,013862,801B85060,18473.0
009,80008C0F0,007,806175830,21390.336
023,80028DE60,001501,800D941A0,9470.8
031232,800D941F0,001501,800D941A0,808.0
001501,800D941A0,02915,806866540,59721.94
013862,801B85060,024850,805EFD340,42288.590000000004
007,806175830,0016927,806B5C570,130834.22582999998
0016927,806B5C570,0116425,806D663F0,70527.1743
024850,805EFD340,0111141,8073708A0,44108.049999999996
02915,806866540,024482,808031200,45366.899999999994
0116425,806D663F0,0118202,806DDBD00,3387.59982
0111141,8073708A0,028726,80DCFADF0,24364.940000000002
024482,808031200,0026698,80ABAFB50,56890.936
024482,808031200,0147042,81198DDC0,2578.6
