Timestamp,From Bank,From Account,To Bank,To Account,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering,Conversion
2022/09/01 00:06,021174,800737690,012,80011F990,2848.96,Euro,2848.96,Euro,ACH,1,1.0
2022/09/01 04:33,021174,800737690,020,80020C5B0,8630.4,Euro,8630.4,Euro,ACH,1,1.0
2022/09/01 09:14,021174,800737690,020,80006A5E0,35642.49,Yuan,4277.0988,Yuan,ACH,1,0.12
2022/09/01 09:56,021174,800737690,00220,8007A5B70,5738987.96,US Dollar,5107699.2844,US Dollar,ACH,1,0.89
2022/09/01 11:28,021174,800737690,001244,80093C0D0,7254.53,US Dollar,6456.5317,US Dollar,ACH,1,0.89
2022/09/01 13:13,021174,800737690,00513,80078E200,6990.87,US Dollar,6221.8743,US Dollar,ACH,1,0.89
2022/09/01 14:11,021174,800737690,020,80066B990,12536.92,Euro,12536.92,Euro,ACH,1,1.0
2022/09/02 15:40,021174,800737690,00410,8002CC310,3511.82,Euro,3511.82,Euro,ACH,1,1.0
2022/09/02 21:23,021174,800737690,01292,8004030A0,16135.09,US Dollar,14360.2301,US Dollar,ACH,1,0.89
2022/09/02 23:10,021174,800737690,01601,800578800,12183.28,US Dollar,10843.119200000001,US Dollar,ACH,1,0.89
2022/09/03 09:29,021174,800737690,001,800AAF0B0,15197.45,US Dollar,13525.730500000001,US Dollar,ACH,1,0.89
2022/09/03 14:22,021174,800737690,01420,8006FB970,4717.76,US Dollar,4198.8064,US Dollar,ACH,1,0.89
2022/09/04 07:35,021174,800737690,010,800449990,19332.59,US Dollar,17206.005100000002,US Dollar,ACH,1,0.89
2022/09/04 09:10,021174,800737690,011852,800AEBA90,300.93,Euro,300.93,Euro,ACH,1,1.0
2022/09/04 12:03,021174,800737690,010,800692550,2724.99,US Dollar,2425.2410999999997,US Dollar,ACH,1,0.89
2022/09/04 15:48,021174,800737690,011056,8007486D0,15224.53,Euro,15224.53,Euro,ACH,1,1.0
2022/09/01 00:03,01467,8013C4030,020,80BC62F10,58702.1,Yuan,7044.2519999999995,Yuan,ACH,1,0.12
2022/09/01 02:52,020,80BC62F10,0240229,80F025640,7332.87,Swiss Franc,7846.1709,Swiss Franc,ACH,1,1.07
2022/09/02 08:44,0240229,80F025640,0217,80FD27570,26443.7,Shekel,6610.925,Shekel,ACH,1,0.25
2022/09/02 12:29,0217,80FD27570,0024856,8090E8EB0,10621.24,Canadian Dollar,6797.5936,Canadian Dollar,ACH,1,0.64
2022/09/03 10:20,0024856,8090E8EB0,0071,804ABCE90,637140.6,Rupee,6371.406,Rupee,ACH,1,0.01
2022/09/03 12:08,0071,804ABCE90,0213737,805494C30,621578.18,Rupee,6215.781800000001,Rupee,ACH,1,0.01
2022/09/03 13:24,0213737,805494C30,014290,801B949C0,7222.58,Euro,7222.58,Euro,ACH,1,1.0
2022/09/04 03:24,014290,801B949C0,0010057,803DE1580,892031.21,Yen,5530.593502,Yen,ACH,1,0.0062
2022/09/04 09:44,0010057,803DE1580,0028628,80ACEE280,11364.12,Australian Dollar,6477.5484,Australian Dollar,ACH,1,0.57
2022/09/04 15:51,0028628,80ACEE280,01467,8013C4030,7945.55,US Dollar,7071.5395,US Dollar,ACH,1,0.89
2022/09/01 00:04,0119,811C597B0,0048309,811C599A0,34254.65,Saudi Riyal,8221.116,Saudi Riyal,ACH,1,0.24
2022/09/01 19:27,0150240,812D22980,0048309,811C599A0,5971.98,Saudi Riyal,1433.2751999999998,Saudi Riyal,ACH,1,0.24
2022/09/04 05:06,0222,811B83280,0048309,811C599A0,50445.58,Saudi Riyal,12106.9392,Saudi Riyal,ACH,1,0.24
2022/09/04 05:03,0048309,811C599A0,0048309,811C599A0,48649.42,Saudi Riyal,11675.860799999999,Saudi Riyal,ACH,1,0.24
2022/09/04 14:59,0048309,811C599A0,0119,811C597B0,64379.45,Saudi Riyal,15451.068,Saudi Riyal,ACH,1,0.24
2022/09/02 12:36,0223,8000DD890,0040312,80F52D550,14153.46,Swiss Franc,15144.2022,Swiss Franc,ACH,1,1.07
2022/09/03 19:52,0040312,80F52D550,0023370,80BEA98A0,11975.53,UK Pound,14131.1254,UK Pound,ACH,1,1.18
2022/09/01 10:19,018617,8038D3520,024482,801C0F2B0,13712.96,Euro,13712.96,Euro,ACH,1,1.0
2022/09/03 05:06,024482,801C0F2B0,0214,80C1B9E20,333126.09,Mexican Peso,15323.800140000001,Mexican Peso,ACH,1,0.046
2022/09/01 09:22,0040836,80F6B88B0,0016606,8064545E0,11800.69,US Dollar,10502.6141,US Dollar,ACH,1,0.89
2022/09/03 08:27,0016606,8064545E0,002454,80662A070,12331.0,US Dollar,10974.59,US Dollar,ACH,1,0.89
2022/09/02 07:21,021749,8014BDC90,0214050,80537F610,317448.19,Rupee,3174.4819,Rupee,ACH,1,0.01
2022/09/04 19:11,0214050,80537F610,0017554,806C8F2A0,349281.29,Ruble,3842.0941899999993,Ruble,ACH,1,0.011
2022/09/01 15:05,023842,80195DE20,002845,801E2BC20,277.59,US Dollar,247.05509999999998,US Dollar,ACH,1,0.89
2022/09/04 09:31,002845,801E2BC20,0220504,807E97240,230.27,UK Pound,271.7186,UK Pound,ACH,1,1.18
2022/09/01 14:28,010,8009CF210,011318,8011AB110,11964.97,US Dollar,10648.8233,US Dollar,ACH,1,0.89
2022/09/03 09:33,011318,8011AB110,028255,806C7CF80,11521.43,US Dollar,10254.0727,US Dollar,ACH,1,0.89
